E,A,h
0,0,0
25.5,248,37.5
23.5,252,75
19.4,253,112.5
17.2,255,150
15.8,255.5,187.5
15.2,256,225
14.8,256.7,262.5
14.3,257.1,300
13.87,257.3,337.5
13.62,257.5,375
13.46,257.9,412.5
13.1,258.4,450
12.79,258.7,487.5
12.62,258.5,525
12.36,258.4,562.5
12.29,258.3,600
12.15,258.3,637.5
12.08,258.13,675
12.05,258.02,712.5
12.02,257.96,750
12.03,257.81,787.5
12,257.78,825
11.9,257.75,862.5
12,257.92,900
12.15,258.01,937.5
12.24,258.15,975
12.29,258.34,1012.5
12.33,258.52,1050
12.38,258.67,1087.5
12.39,258.78,1125
12.43,259,1162.5
12.48,259,1200
